ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
41,2016,3,18,CNTRL,CKG,51,1,1,1
7,2017,8,5,CNTRL,SZX,1440,1,1,1
17,2015,5,3,CNTRL,STL,13605,40,42,48
12,2017,11,18,CNTRL,CKG,48,1,1,1
27,2016,9,7,CNTRL,YYZ,2,25,20,31
11,2015,1,3,CNTRL,ONT,4,10,6,12
12,2018,1,17,CNTRL,HOU,1,10,4,15
8,2015,11,18,CNTRL,CKG,74,100,46,120
18,2014,8,5,CNTRL,SHE,200,20,10,30
10,2014,9,3,CNTRL,ONT,4,10,6,12
7,2014,12,3,CNTRL,ONT,11,10,6,12
7,2016,3,3,CNTRL,SJU,23887,40,48,48
7,2014,10,7,CNTRL,PHX,9,10,10,10
11,2014,9,5,CNTRL,SHE,3000,40,30,50
8,2014,11,17,CNTRL,HOU,5,20,14,24
9,2016,3,7,CNTRL,YYZ,2,26,20,31
8,2015,5,3,CNTRL,PHL,18514,42,51,49
11,2015,4,3,CNTRL,ONT,2,10,6,12
8,2014,11,7,CNTRL,SAN,661,37,26,38
12,2017,4,17,CNTRL,ELP,2,7,6,9
7,2015,9,17,CNTRL,HOU,13,16,12,20
8,2016,12,7,CNTRL,YYZ,2,25,20,30
43,2017,11,17,CNTRL,HOU,1,12,1,14
7,2018,1,5,CNTRL,SHE,200,80,152,110
9,2014,9,3,CNTRL,BRU,43693,0,0,0
7,2014,10,5,CNTRL,SDF,606,25,34,33
11,2014,8,3,CNTRL,ONT,4,9,1,12
7,2016,3,9,CNTRL,DLC,10612,0,0,0
8,2015,5,5,CNTRL,SHE,1500,40,30,50
9,2015,8,17,CNTRL,SFO,2,7,6,9
10,2014,10,18,CNTRL,CKG,4,7,29,47
8,2015,3,7,CNTRL,SAN,13,9,9,18
10,2016,4,4,CNTRL,SIN,39,80,75,120
7,2015,10,7,CNTRL,MKC,4,10,8,15
11,2016,8,5,CNTRL,SHA,3,44,12,64
9,2016,5,5,CNTRL,SDF,496,24,26,39
9,2017,6,7,CNTRL,YYZ,2,25,20,30
9,2016,3,5,CNTRL,AMS,1,14,32,27
7,2017,2,5,CNTRL,SIN,1,20,31,20
11,2015,10,18,CNTRL,KUB,34,1,1,1
12,2016,11,5,CNTRL,SHA,2,30,10,52
7,2015,7,18,CNTRL,CKG,160,100,75,120
8,2016,4,3,CNTRL,ONT,11,10,6,12
18,2017,11,5,CNTRL,SHA,4,44,12,64
11,2016,8,5,CNTRL,PHX,1257,40,41,42
15,2016,2,9,CNTRL,SEL,9226,0,0,0
