ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
16,2015,3,18,CNTRL,CKG,112
13,2017,11,18,CNTRL,CKG,141
66,2017,12,18,CNTRL,CKG,2
9,2017,1,18,CNTRL,KUB,57
11,2016,11,18,CNTRL,CKG,101
13,2014,10,18,CNTRL,CKG,42
10,2015,10,18,CNTRL,CKG,175
15,2015,4,18,CNTRL,CKG,84
18,2016,7,18,CNTRL,CKG,16
16,2017,3,18,CNTRL,CKG,122
7,2016,11,18,CNTRL,CKG,177
11,2014,12,18,CNTRL,CKG,70
10,2016,2,17,CNTRL,HOU,33
7,2016,5,18,CNTRL,CKG,121
9,2015,4,5,CNTRL,SHE,2
7,2014,11,18,CNTRL,CKG,175
65,2016,8,17,CNTRL,HOU,2
8,2016,10,18,CNTRL,HKG,2
9,2014,11,18,CNTRL,CKG,130
194,2015,7,18,CNTRL,CKG,3
11,2016,11,17,CNTRL,ELP,93
8,2018,1,18,CNTRL,CKG,187
32,2017,6,18,CNTRL,CKG,65
9,2016,11,18,CNTRL,CKG,95
55,2017,3,18,CNTRL,CKG,49
49,2016,4,18,CNTRL,CKG,4
8,2015,9,3,CNTRL,STL,13605
12,2017,9,18,CNTRL,KUB,5
8,2015,9,18,CNTRL,HKG,33
16,2017,1,18,CNTRL,CKG,52
17,2016,1,18,CNTRL,KUB,28
20,2016,11,18,CNTRL,CKG,51
7,2015,7,9,CNTRL,EWR,8695
9,2015,1,18,CNTRL,KUB,31
30,2015,3,18,CNTRL,KUB,5
18,2017,3,7,CNTRL,PHX,2
10,2017,11,7,CNTRL,YYZ,4
11,2017,1,7,CNTRL,PEN,2
19,2015,11,18,CNTRL,CKG,64
9,2017,1,7,CNTRL,MKC,11
70,2017,5,18,CNTRL,CKG,30
8,2016,1,18,CNTRL,HKG,4
8,2015,4,18,CNTRL,KUB,11
7,2016,12,18,CNTRL,KUB,36
22,2017,11,18,CNTRL,CKG,14
10,2015,3,17,CNTRL,HOU,20
8,2016,12,18,CNTRL,CKG,226
8,2017,7,17,CNTRL,HOU,14
7,2015,2,18,CNTRL,KUB,48
9,2015,1,18,CNTRL,CKG,175
7,2014,9,17,CNTRL,HOU,276
24,2015,2,18,CNTRL,CKG,89
16,2017,10,18,CNTRL,CKG,142
10,2016,12,17,CNTRL,ELP,66
7,2017,9,18,CNTRL,CKG,160
13,2014,12,18,CNTRL,CKG,87
8,2017,1,5,CNTRL,SHE,3000
8,2016,8,18,CNTRL,CKG,243
13,2016,9,18,CNTRL,CKG,89
8,2016,5,17,CNTRL,ELP,196
7,2015,5,18,CNTRL,CKG,157
16,2015,7,18,CNTRL,CKG,58
38,2016,5,18,CNTRL,CKG,51
41,2017,3,18,CNTRL,CKG,61
15,2017,7,18,CNTRL,CKG,152
56,2016,12,17,CNTRL,HOU,3
8,2015,1,18,CNTRL,CKG,140
9,2015,4,7,CNTRL,MIL,3
8,2017,2,18,CNTRL,CKG,138
11,2015,7,18,CNTRL,CKG,498
10,2017,12,5,CNTRL,SIN,1
11,2015,11,7,CNTRL,PHX,2
29,2017,1,18,CNTRL,HKG,2
13,2014,11,18,CNTRL,CKG,31
15,2016,3,18,CNTRL,CKG,99
32,2016,1,18,CNTRL,CKG,7
7,2016,1,7,CNTRL,SEA,320
25,2017,6,17,CNTRL,HOU,6
29,2017,10,18,CNTRL,CKG,67
7,2016,8,17,CNTRL,ELP,267
19,2017,8,18,CNTRL,CKG,107
25,2015,4,18,CNTRL,CKG,89
48,2017,8,18,CNTRL,CKG,45
39,2015,5,18,CNTRL,CKG,32
10,2015,1,10,CNTRL,LON,14
9,2015,6,7,CNTRL,SIN,3
22,2015,8,18,CNTRL,CKG,12
10,2016,1,18,CNTRL,CKG,76
8,2015,4,18,CNTRL,CKG,41
8,2016,6,18,CNTRL,CKG,165
20,2015,3,18,CNTRL,CKG,143
10,2018,2,18,CNTRL,CKG,85
7,2014,9,18,CNTRL,CKG,88
7,2017,3,5,CNTRL,SIN,6
8,2016,10,18,CNTRL,CKG,454
46,2016,4,18,CNTRL,CKG,6
87,2017,6,18,CNTRL,CKG,5
16,2015,5,18,CNTRL,CKG,31
12,2016,3,18,CNTRL,CKG,118
57,2016,1,18,CNTRL,CKG,4
11,2017,9,18,CNTRL,CKG,86
7,2017,3,18,CNTRL,KUB,3
33,2017,2,18,CNTRL,CKG,47
10,2017,10,18,CNTRL,CKG,125
9,2015,3,18,CNTRL,CKG,169
33,2017,12,18,CNTRL,CKG,24
9,2016,5,18,CNTRL,CKG,375
25,2017,9,18,CNTRL,KUB,28
8,2017,1,18,CNTRL,CKG,161
12,2015,9,18,CNTRL,KUB,32
10,2015,2,18,CNTRL,KUB,34
31,2016,10,18,CNTRL,CKG,90
8,2014,12,17,CNTRL,BUD,2
8,2014,10,5,CNTRL,AMS,38
28,2016,12,18,CNTRL,CKG,23
10,2016,4,18,CNTRL,CKG,18
10,2016,9,18,CNTRL,KUB,59
7,2017,5,18,CNTRL,CKG,204
18,2017,6,18,CNTRL,KUB,5
7,2016,8,18,CNTRL,KUB,10
8,2016,9,3,CNTRL,ONT,11
13,2016,3,18,CNTRL,KUB,12
9,2014,9,7,CNTRL,YYZ,11
29,2017,7,18,CNTRL,CKG,62
19,2016,8,18,CNTRL,CKG,83
31,2016,2,18,CNTRL,CKG,41
46,2017,9,17,CNTRL,HOU,2
8,2016,7,17,CNTRL,ELP,201
9,2016,7,17,CNTRL,ELP,203
27,2015,3,18,CNTRL,CKG,33
10,2015,8,5,CNTRL,AMS,3
16,2018,2,18,CNTRL,CKG,13
52,2016,5,18,CNTRL,CKG,4
10,2015,7,18,CNTRL,KUB,129
10,2016,9,18,CNTRL,KUB,56
7,2017,9,18,CNTRL,CKG,238
7,2016,9,17,CNTRL,ELP,123
9,2014,10,17,CNTRL,HOU,93
35,2017,11,18,CNTRL,CKG,41
15,2017,7,18,CNTRL,CKG,93
46,2016,7,18,CNTRL,CKG,4
9,2017,6,18,CNTRL,CKG,146
7,2016,8,5,CNTRL,PHX,1239
9,2015,3,17,CNTRL,HOU,29
28,2016,1,17,CNTRL,SFO,7
7,2014,11,5,CNTRL,SDF,9
28,2016,6,18,CNTRL,CKG,48
8,2015,1,18,CNTRL,CKG,827
19,2016,7,18,CNTRL,CKG,67
8,2015,1,18,CNTRL,CKG,115
10,2018,1,18,CNTRL,CKG,128
14,2014,11,18,CNTRL,KUB,30
9,2014,12,7,CNTRL,TYO,9
32,2018,2,18,CNTRL,CKG,32
12,2016,8,5,CNTRL,SDF,496
23,2016,9,18,CNTRL,CKG,13
12,2017,5,18,CNTRL,CKG,21
10,2017,2,17,CNTRL,ELP,31
8,2017,7,18,CNTRL,CKG,308
11,2014,9,18,CNTRL,CKG,114
14,2017,7,18,CNTRL,CKG,109
74,2016,12,17,CNTRL,HOU,2
11,2015,5,18,CNTRL,CKG,108
21,2014,12,18,CNTRL,CKG,119
8,2014,10,17,CNTRL,HOU,187
